institution_name,fips_state_code,longitude,latitude,total_enrollment,full-time_enrollment,part-time_enrollment,control,level
America Evangelical University,California,-118.308661,34.041239000000004,85.0,49.0,36.0,Private not-for-profit,4-year or above
American Academy McAllister Institute of Funeral Service,New York,-73.993782,40.769031,440.0,61.0,379.0,Private not-for-profit,2-year
American Academy of Art,Illinois,-87.624788,41.87742,242.0,181.0,61.0,Private not-for-profit,4-year or above
American Academy of Dramatic Arts-Los Angeles,California,-118.343701,34.095378000000004,263.0,263.0,0.0,Private not-for-profit,2-year
American Academy of Dramatic Arts-New York,New York,-73.98484300000001,40.745545,270.0,270.0,0.0,Private not-for-profit,2-year
American Baptist College,Tennessee,-86.789912,36.202623,123.0,98.0,25.0,Private not-for-profit,4-year or above
American Business and Technology University,Missouri,-94.819797,39.779095,404.0,404.0,0.0,Private for-profit,4-year or above
American Career College-Anaheim,California,-117.975599,33.849912,1027.0,1027.0,0.0,Private for-profit,2-year
American Career College-Los Angeles,California,-118.292481,34.079322999999995,1284.0,1284.0,0.0,Private for-profit,2-year
American Career College-Ontario,California,-117.583814,34.068203999999994,1280.0,1280.0,0.0,Private for-profit,2-year
American College for Medical Careers,Florida,-81.402271,28.470997,226.0,179.0,47.0,Private for-profit,4-year or above
American College of Healthcare Sciences,Oregon,-122.675858,45.486902,729.0,87.0,642.0,Private for-profit,4-year or above
American Institute of Alternative Medicine,Ohio,-82.988733,40.102442,425.0,260.0,165.0,Private for-profit,4-year or above
American InterContinental University,Illinois,-88.032424,42.033191,8777.0,6918.0,1859.0,Private for-profit,4-year or above
American InterContinental University-Atlanta,Georgia,-84.354907,33.938779,1806.0,1314.0,492.0,Private for-profit,4-year or above
American InterContinental University-Houston,Texas,-95.548302,29.728216,349.0,231.0,118.0,Private for-profit,4-year or above
American International College,Massachusetts,-72.558338,42.112346,3152.0,2852.0,300.0,Private not-for-profit,4-year or above
American Jewish University,California,-118.471706,34.128153000000005,168.0,131.0,37.0,Private not-for-profit,4-year or above
American Medical Academy,Florida,-80.393361,25.66273,461.0,415.0,46.0,Private for-profit,2-year
American Medical Sciences Center,California,-118.256991,34.147117,30.0,30.0,0.0,Private for-profit,2-year
American Musical and Dramatic Academy,New York,-73.987549,40.772275,1676.0,1676.0,0.0,Private not-for-profit,4-year or above
American National University,Virginia,-80.023602,37.299743,1072.0,501.0,571.0,Private for-profit,4-year or above
American National University-Dayton,Ohio,-84.12734,39.70112,,,,Private for-profit,2-year
American National University-Lexington,Kentucky,-84.421099,38.026996,299.0,151.0,148.0,Private for-profit,4-year or above
American Public University System,West Virginia,-77.86012099999998,39.287826,46088.0,2730.0,43358.0,Private for-profit,4-year or above
American River College,California,-121.349672,38.65085,31366.0,6173.0,25193.0,Public,2-year
American Sentinel University,Colorado,-104.831161,39.67661,2674.0,930.0,1744.0,Private for-profit,4-year or above
American Trade School,Missouri,-90.380141,38.72876,120.0,120.0,0.0,Private for-profit,2-year
American University,District of Columbia,-77.088875,38.936005,14311.0,11435.0,2876.0,Private not-for-profit,4-year or above
American University of Health Sciences,California,-118.171366,33.796849,293.0,293.0,0.0,Private for-profit,4-year or above
AmeriTech College-Draper,Utah,-111.892792,40.527932,723.0,421.0,302.0,Private for-profit,4-year or above
Amherst College,Massachusetts,-72.518493,42.372459,1855.0,1855.0,0.0,Private not-for-profit,4-year or above
